CASE,HFO,LSFO,LNG,HFOLNG,Persian Gulf(LNG),Persian Gulf(method),Japan(LNG),Japan(method),Singapore(LNG),Singapore(method),Valid,Explanation
3291,0,5,10,5,3,Shore to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
3292,0,5,10,5,3,Shore to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
3293,0,5,10,5,3,Shore to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
3294,0,5,10,5,3,Shore to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
3295,0,5,10,5,3,Shore to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
3296,0,5,10,5,3,Shore to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
3297,0,5,10,5,3,Shore to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
3298,0,5,10,5,3,Shore to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
3299,0,5,10,5,3,Shore to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
3300,0,5,10,5,3,Shore to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
3301,0,5,10,5,3,Shore to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
3302,0,5,10,5,3,Shore to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
3303,0,5,10,5,3,Shore to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
3304,0,5,10,5,3,Shore to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
3305,0,5,10,5,3,Shore to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
3306,0,5,10,5,3,Shore to Ship,3,Shore to Ship,0,Truck to Ship,TRUE,
3307,0,5,10,5,3,Shore to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
3308,0,5,10,5,3,Shore to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
3309,0,5,10,5,3,Shore to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
3310,0,5,10,5,3,Shore to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
3311,0,5,10,5,3,Shore to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
3312,0,5,10,5,3,Shore to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
3313,0,5,15,0,0,Truck to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
3314,0,5,15,0,0,Truck to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
3315,0,5,15,0,0,Truck to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
3316,0,5,15,0,0,Truck to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
3317,0,5,15,0,0,Truck to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
3318,0,5,15,0,0,Truck to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
3319,0,5,15,0,0,Truck to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
3320,0,5,15,0,0,Truck to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
3321,0,5,15,0,0,Truck to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
3322,0,5,15,0,0,Truck to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
3323,0,5,15,0,0,Truck to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
3324,0,5,15,0,0,Truck to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
3325,0,5,15,0,0,Truck to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
3326,0,5,15,0,0,Truck to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
3327,0,5,15,0,0,Truck to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
3328,0,5,15,0,0,Truck to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
3329,0,5,15,0,0,Truck to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
3330,0,5,15,0,0,Truck to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
3331,0,5,15,0,0,Truck to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
3332,0,5,15,0,0,Truck to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
3333,0,5,15,0,0,Truck to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
3334,0,5,15,0,0,Truck to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
3335,0,5,15,0,0,Truck to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
3336,0,5,15,0,0,Truck to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
3337,0,5,15,0,0,Truck to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
3338,0,5,15,0,0,Truck to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
3339,0,5,15,0,0,Truck to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
3340,0,5,15,0,0,Truck to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
3341,0,5,15,0,0,Truck to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
3342,0,5,15,0,0,Truck to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
3343,0,5,15,0,0,Truck to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
3344,0,5,15,0,0,Truck to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
3345,0,5,15,0,0,Truck to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
3346,0,5,15,0,0,Truck to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
3347,0,5,15,0,0,Truck to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
3348,0,5,15,0,0,Truck to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
3349,0,5,15,0,0,Truck to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
3350,0,5,15,0,0,Truck to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
3351,0,5,15,0,0,Truck to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
3352,0,5,15,0,0,Truck to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
3353,0,5,15,0,0,Truck to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
3354,0,5,15,0,0,Truck to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
3355,0,5,15,0,0,Truck to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
3356,0,5,15,0,0,Truck to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
3357,0,5,15,0,0,Truck to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
3358,0,5,15,0,0,Truck to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
3359,0,5,15,0,0,Truck to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
3360,0,5,15,0,0,Truck to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
3361,0,5,15,0,0,Truck to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
3362,0,5,15,0,0,Truck to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
3363,0,5,15,0,0,Truck to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
3364,0,5,15,0,0,Truck to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
3365,0,5,15,0,0,Truck to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
3366,0,5,15,0,0,Truck to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
3367,0,5,15,0,1,Truck to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
3368,0,5,15,0,1,Truck to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
3369,0,5,15,0,1,Truck to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
3370,0,5,15,0,1,Truck to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
3371,0,5,15,0,1,Truck to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
3372,0,5,15,0,1,Truck to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
3373,0,5,15,0,1,Truck to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
3374,0,5,15,0,1,Truck to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
3375,0,5,15,0,1,Truck to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
3376,0,5,15,0,1,Truck to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
3377,0,5,15,0,1,Truck to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
3378,0,5,15,0,1,Truck to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
3379,0,5,15,0,1,Truck to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
3380,0,5,15,0,1,Truck to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
3381,0,5,15,0,1,Truck to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
3382,0,5,15,0,1,Truck to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
3383,0,5,15,0,1,Truck to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
3384,0,5,15,0,1,Truck to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
3385,0,5,15,0,1,Truck to Ship,1,Truck to Ship,0,Truck to Ship,TRUE,
3386,0,5,15,0,1,Truck to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
3387,0,5,15,0,1,Truck to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
3388,0,5,15,0,1,Truck to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
3389,0,5,15,0,1,Truck to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
3390,0,5,15,0,1,Truck to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
3391,0,5,15,0,1,Truck to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
3392,0,5,15,0,1,Truck to Ship,1,Ship to Ship,0,Truck to Ship,TRUE,
3393,0,5,15,0,1,Truck to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
3394,0,5,15,0,1,Truck to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
3395,0,5,15,0,1,Truck to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
3396,0,5,15,0,1,Truck to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
3397,0,5,15,0,1,Truck to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
3398,0,5,15,0,1,Truck to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
3399,0,5,15,0,1,Truck to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
3400,0,5,15,0,1,Truck to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
3401,0,5,15,0,1,Truck to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
3402,0,5,15,0,1,Truck to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
3403,0,5,15,0,1,Truck to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
3404,0,5,15,0,1,Truck to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
3405,0,5,15,0,1,Truck to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
3406,0,5,15,0,1,Truck to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
3407,0,5,15,0,1,Truck to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
3408,0,5,15,0,1,Truck to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
3409,0,5,15,0,1,Truck to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
3410,0,5,15,0,1,Truck to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
3411,0,5,15,0,1,Truck to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
3412,0,5,15,0,1,Truck to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
3413,0,5,15,0,1,Truck to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
3414,0,5,15,0,1,Truck to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
3415,0,5,15,0,1,Truck to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
3416,0,5,15,0,1,Truck to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
3417,0,5,15,0,1,Truck to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
3418,0,5,15,0,1,Truck to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
3419,0,5,15,0,1,Truck to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
3420,0,5,15,0,1,Truck to Ship,3,Shore to Ship,0,Truck to Ship,TRUE,
3421,0,5,15,0,1,Truck to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
3422,0,5,15,0,1,Truck to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
3423,0,5,15,0,1,Truck to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
3424,0,5,15,0,1,Truck to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
3425,0,5,15,0,1,Truck to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
3426,0,5,15,0,1,Truck to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
3427,0,5,15,0,1,Ship to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
3428,0,5,15,0,1,Ship to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
3429,0,5,15,0,1,Ship to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
3430,0,5,15,0,1,Ship to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
3431,0,5,15,0,1,Ship to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
3432,0,5,15,0,1,Ship to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
3433,0,5,15,0,1,Ship to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
3434,0,5,15,0,1,Ship to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
3435,0,5,15,0,1,Ship to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
3436,0,5,15,0,1,Ship to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
3437,0,5,15,0,1,Ship to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
3438,0,5,15,0,1,Ship to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
3439,0,5,15,0,1,Ship to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
3440,0,5,15,0,1,Ship to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
3441,0,5,15,0,1,Ship to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
3442,0,5,15,0,1,Ship to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
3443,0,5,15,0,1,Ship to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
3444,0,5,15,0,1,Ship to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
3445,0,5,15,0,1,Ship to Ship,1,Truck to Ship,0,Truck to Ship,TRUE,
3446,0,5,15,0,1,Ship to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
3447,0,5,15,0,1,Ship to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
3448,0,5,15,0,1,Ship to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
3449,0,5,15,0,1,Ship to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
3450,0,5,15,0,1,Ship to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
3451,0,5,15,0,1,Ship to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
3452,0,5,15,0,1,Ship to Ship,1,Ship to Ship,0,Truck to Ship,TRUE,
3453,0,5,15,0,1,Ship to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
3454,0,5,15,0,1,Ship to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
3455,0,5,15,0,1,Ship to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
3456,0,5,15,0,1,Ship to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
3457,0,5,15,0,1,Ship to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
3458,0,5,15,0,1,Ship to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
3459,0,5,15,0,1,Ship to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
3460,0,5,15,0,1,Ship to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
3461,0,5,15,0,1,Ship to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
3462,0,5,15,0,1,Ship to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
3463,0,5,15,0,1,Ship to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
3464,0,5,15,0,1,Ship to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
3465,0,5,15,0,1,Ship to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
3466,0,5,15,0,1,Ship to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
3467,0,5,15,0,1,Ship to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
3468,0,5,15,0,1,Ship to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
3469,0,5,15,0,1,Ship to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
3470,0,5,15,0,1,Ship to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
3471,0,5,15,0,1,Ship to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
3472,0,5,15,0,1,Ship to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
3473,0,5,15,0,1,Ship to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
3474,0,5,15,0,1,Ship to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
3475,0,5,15,0,1,Ship to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
3476,0,5,15,0,1,Ship to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
3477,0,5,15,0,1,Ship to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
3478,0,5,15,0,1,Ship to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
3479,0,5,15,0,1,Ship to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
3480,0,5,15,0,1,Ship to Ship,3,Shore to Ship,0,Truck to Ship,TRUE,
3481,0,5,15,0,1,Ship to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
3482,0,5,15,0,1,Ship to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
3483,0,5,15,0,1,Ship to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
3484,0,5,15,0,1,Ship to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
3485,0,5,15,0,1,Ship to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
3486,0,5,15,0,1,Ship to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
3487,0,5,15,0,1,Shore to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
3488,0,5,15,0,1,Shore to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
3489,0,5,15,0,1,Shore to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
3490,0,5,15,0,1,Shore to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
3491,0,5,15,0,1,Shore to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
3492,0,5,15,0,1,Shore to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
3493,0,5,15,0,1,Shore to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
3494,0,5,15,0,1,Shore to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
3495,0,5,15,0,1,Shore to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
3496,0,5,15,0,1,Shore to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
3497,0,5,15,0,1,Shore to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
3498,0,5,15,0,1,Shore to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
3499,0,5,15,0,1,Shore to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
3500,0,5,15,0,1,Shore to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
3501,0,5,15,0,1,Shore to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
3502,0,5,15,0,1,Shore to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
3503,0,5,15,0,1,Shore to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
3504,0,5,15,0,1,Shore to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
3505,0,5,15,0,1,Shore to Ship,1,Truck to Ship,0,Truck to Ship,TRUE,
3506,0,5,15,0,1,Shore to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
3507,0,5,15,0,1,Shore to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
3508,0,5,15,0,1,Shore to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
3509,0,5,15,0,1,Shore to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
3510,0,5,15,0,1,Shore to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
3511,0,5,15,0,1,Shore to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
3512,0,5,15,0,1,Shore to Ship,1,Ship to Ship,0,Truck to Ship,TRUE,
3513,0,5,15,0,1,Shore to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
3514,0,5,15,0,1,Shore to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
3515,0,5,15,0,1,Shore to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
3516,0,5,15,0,1,Shore to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
3517,0,5,15,0,1,Shore to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
3518,0,5,15,0,1,Shore to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
3519,0,5,15,0,1,Shore to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
3520,0,5,15,0,1,Shore to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
3521,0,5,15,0,1,Shore to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
3522,0,5,15,0,1,Shore to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
3523,0,5,15,0,1,Shore to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
3524,0,5,15,0,1,Shore to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
3525,0,5,15,0,1,Shore to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
3526,0,5,15,0,1,Shore to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
3527,0,5,15,0,1,Shore to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
3528,0,5,15,0,1,Shore to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
3529,0,5,15,0,1,Shore to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
3530,0,5,15,0,1,Shore to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
3531,0,5,15,0,1,Shore to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
3532,0,5,15,0,1,Shore to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
3533,0,5,15,0,1,Shore to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
3534,0,5,15,0,1,Shore to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
3535,0,5,15,0,1,Shore to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
3536,0,5,15,0,1,Shore to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
3537,0,5,15,0,1,Shore to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
3538,0,5,15,0,1,Shore to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
3539,0,5,15,0,1,Shore to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
3540,0,5,15,0,1,Shore to Ship,3,Shore to Ship,0,Truck to Ship,TRUE,
3541,0,5,15,0,1,Shore to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
3542,0,5,15,0,1,Shore to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
3543,0,5,15,0,1,Shore to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
3544,0,5,15,0,1,Shore to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
3545,0,5,15,0,1,Shore to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
3546,0,5,15,0,1,Shore to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
3547,0,5,15,0,3,Truck to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
3548,0,5,15,0,3,Truck to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
3549,0,5,15,0,3,Truck to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
3550,0,5,15,0,3,Truck to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
3551,0,5,15,0,3,Truck to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
3552,0,5,15,0,3,Truck to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
3553,0,5,15,0,3,Truck to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
3554,0,5,15,0,3,Truck to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
3555,0,5,15,0,3,Truck to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
3556,0,5,15,0,3,Truck to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
3557,0,5,15,0,3,Truck to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
3558,0,5,15,0,3,Truck to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
3559,0,5,15,0,3,Truck to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
3560,0,5,15,0,3,Truck to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
3561,0,5,15,0,3,Truck to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
3562,0,5,15,0,3,Truck to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
3563,0,5,15,0,3,Truck to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
3564,0,5,15,0,3,Truck to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
3565,0,5,15,0,3,Truck to Ship,1,Truck to Ship,0,Truck to Ship,TRUE,
3566,0,5,15,0,3,Truck to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
3567,0,5,15,0,3,Truck to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
3568,0,5,15,0,3,Truck to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
3569,0,5,15,0,3,Truck to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
3570,0,5,15,0,3,Truck to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
3571,0,5,15,0,3,Truck to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
3572,0,5,15,0,3,Truck to Ship,1,Ship to Ship,0,Truck to Ship,TRUE,
3573,0,5,15,0,3,Truck to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
3574,0,5,15,0,3,Truck to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
3575,0,5,15,0,3,Truck to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
3576,0,5,15,0,3,Truck to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
3577,0,5,15,0,3,Truck to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
3578,0,5,15,0,3,Truck to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
3579,0,5,15,0,3,Truck to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
3580,0,5,15,0,3,Truck to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
3581,0,5,15,0,3,Truck to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
3582,0,5,15,0,3,Truck to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
3583,0,5,15,0,3,Truck to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
3584,0,5,15,0,3,Truck to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
3585,0,5,15,0,3,Truck to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
3586,0,5,15,0,3,Truck to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
